categoria,competicion,grupo,jornada,fecha,hora,estadio,superficie,árbitro,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado,link_acta
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,22-09-2024,18:30,O Xeixo - Trazo,Hierba Natural,"QUINTANA PEREIRO, SERGIO",TRAZO C.F.,C.F. CIRE DE MELIDE,0,11,0-11,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186957&cod_acta=1186957
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,22-09-2024,17:00,Suso Conde,Hierba Artificial,"GIL CALDELAS, SAMUEL",S.D. VILLESTRO,C.D. SAN MAMED,2,2,2-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186958&cod_acta=1186958
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,29-09-2024,18:30,O Forte-Boqueixón,Hierba Artificial,"GAY CASAL, JAVIER",A.C.U.D. CAMPORRAPADO,LAMELA C.F.,1,4,1-4,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186959&cod_acta=1186959
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,29-09-2024,16:00,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"MARTINEZ LAREO , MARCOS",C.D.BELVIS,C.F. SILLEDA,2,2,2-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186960&cod_acta=1186960
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,29-09-2024,17:00,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"ENRIQUEZ PEREIRO, OSCAR",C.D. SPORT TEAM ESTRADA,S.D. CACHEIRAS,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186961&cod_acta=1186961
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,29-09-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"GARCIA IGLESIAS, BRAIS",SOCIEDADE DEPORTIVA O PINO,S.D. CRUCES,3,1,3-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186962&cod_acta=1186962
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,29-09-2024,17:00,A Devesiña - Recesende,Tierra,"ALAOUI SOULIMANI, AMINE",S.D.C. RECESENDE,S.D. DUBRA B,1,4,1-4,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186963&cod_acta=1186963
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,29-09-2024,18:30,A Raña - Rodeiro,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",RODEIRO C.F.,TRAZO C.F.,2,2,2-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186964&cod_acta=1186964
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,29-09-2024,17:30,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"VIDAL FONSECA, GUSTAVO",C.F. CIRE DE MELIDE,S.D. VILLESTRO,2,1,2-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186965&cod_acta=1186965
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,29-09-2024,18:00,O Coto - Val Do Ulla,Hierba Artificial,"GARCIA VEIRAS, RAUL",U.D. VAL DO ULLA,C.D. SAN MAMED,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186966&cod_acta=1186966
