temporada,categoria,competicion,grupo,jornada,equipo,rival,local_visitante,puntos
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,21,C.D. SAN MAMED,S.D.C. RECESENDE,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,21,C.F. CIRE DE MELIDE,RODEIRO C.F.,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,22,C.F. SILLEDA,S.D. CACHEIRAS,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,22,LAMELA C.F.,S.D. CRUCES,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,22,A.C.U.D. CAMPORRAPADO,S.D. DUBRA B,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,22,C.D.BELVIS,TRAZO C.F.,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,22,C.D. SPORT TEAM ESTRADA,S.D. VILLESTRO,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,22,SOCIEDADE DEPORTIVA O PINO,C.D. SAN MAMED,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,22,S.D.C. RECESENDE,C.F. CIRE DE MELIDE,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,22,U.D. VAL DO ULLA,RODEIRO C.F.,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,23,S.D. CACHEIRAS,U.D. VAL DO ULLA,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,23,S.D. CRUCES,C.F. SILLEDA,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,23,S.D. DUBRA B,LAMELA C.F.,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,23,TRAZO C.F.,A.C.U.D. CAMPORRAPADO,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,23,S.D. VILLESTRO,C.D.BELVIS,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,23,C.D. SAN MAMED,C.D. SPORT TEAM ESTRADA,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,23,C.F. CIRE DE MELIDE,SOCIEDADE DEPORTIVA O PINO,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,23,RODEIRO C.F.,S.D.C. RECESENDE,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,24,S.D. CACHEIRAS,S.D. CRUCES,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,24,C.F. SILLEDA,S.D. DUBRA B,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,24,LAMELA C.F.,TRAZO C.F.,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,24,A.C.U.D. CAMPORRAPADO,S.D. VILLESTRO,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,24,C.D.BELVIS,C.D. SAN MAMED,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,24,C.D. SPORT TEAM ESTRADA,C.F. CIRE DE MELIDE,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,24,SOCIEDADE DEPORTIVA O PINO,RODEIRO C.F.,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,24,U.D. VAL DO ULLA,S.D.C. RECESENDE,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,25,S.D. CRUCES,U.D. VAL DO ULLA,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,25,S.D. DUBRA B,S.D. CACHEIRAS,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,25,TRAZO C.F.,C.F. SILLEDA,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,25,S.D. VILLESTRO,LAMELA C.F.,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,25,C.D. SAN MAMED,A.C.U.D. CAMPORRAPADO,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,25,C.F. CIRE DE MELIDE,C.D.BELVIS,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,25,RODEIRO C.F.,C.D. SPORT TEAM ESTRADA,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,25,S.D.C. RECESENDE,SOCIEDADE DEPORTIVA O PINO,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,26,S.D. CRUCES,S.D. DUBRA B,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,26,S.D. CACHEIRAS,TRAZO C.F.,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,26,C.F. SILLEDA,S.D. VILLESTRO,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,26,LAMELA C.F.,C.D. SAN MAMED,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,26,A.C.U.D. CAMPORRAPADO,C.F. CIRE DE MELIDE,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,26,C.D.BELVIS,RODEIRO C.F.,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,26,C.D. SPORT TEAM ESTRADA,S.D.C. RECESENDE,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,26,U.D. VAL DO ULLA,SOCIEDADE DEPORTIVA O PINO,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,27,S.D. DUBRA B,U.D. VAL DO ULLA,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,27,TRAZO C.F.,S.D. CRUCES,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,27,S.D. VILLESTRO,S.D. CACHEIRAS,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,27,C.D. SAN MAMED,C.F. SILLEDA,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,27,C.F. CIRE DE MELIDE,LAMELA C.F.,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,27,RODEIRO C.F.,A.C.U.D. CAMPORRAPADO,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,27,S.D.C. RECESENDE,C.D.BELVIS,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,27,SOCIEDADE DEPORTIVA O PINO,C.D. SPORT TEAM ESTRADA,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,28,S.D. DUBRA B,TRAZO C.F.,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,28,S.D. CRUCES,S.D. VILLESTRO,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,28,S.D. CACHEIRAS,C.D. SAN MAMED,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,28,C.F. SILLEDA,C.F. CIRE DE MELIDE,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,28,LAMELA C.F.,RODEIRO C.F.,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,28,A.C.U.D. CAMPORRAPADO,S.D.C. RECESENDE,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,28,C.D.BELVIS,SOCIEDADE DEPORTIVA O PINO,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,28,U.D. VAL DO ULLA,C.D. SPORT TEAM ESTRADA,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,29,U.D. VAL DO ULLA,TRAZO C.F.,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,29,S.D. VILLESTRO,S.D. DUBRA B,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,29,C.D. SAN MAMED,S.D. CRUCES,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,29,C.F. CIRE DE MELIDE,S.D. CACHEIRAS,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,29,RODEIRO C.F.,C.F. SILLEDA,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,29,S.D.C. RECESENDE,LAMELA C.F.,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,29,SOCIEDADE DEPORTIVA O PINO,A.C.U.D. CAMPORRAPADO,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,29,C.D. SPORT TEAM ESTRADA,C.D.BELVIS,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,30,TRAZO C.F.,S.D. VILLESTRO,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,30,S.D. DUBRA B,C.D. SAN MAMED,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,30,S.D. CRUCES,C.F. CIRE DE MELIDE,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,30,S.D. CACHEIRAS,RODEIRO C.F.,visitante,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,30,C.F. SILLEDA,S.D.C. RECESENDE,visitante,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,30,LAMELA C.F.,SOCIEDADE DEPORTIVA O PINO,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,30,A.C.U.D. CAMPORRAPADO,C.D. SPORT TEAM ESTRADA,visitante,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,30,C.D.BELVIS,U.D. VAL DO ULLA,visitante,0
