temporada,categoria,competicion,grupo,jornada,cod_acta,equipo_local,equipo_visitante,equipo,rival,local_visitante,evento,minuto,parte,jugador,tipo_gol,jugador_entra,jugador_sale,num_sustitucion,resultado_parcial
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,sustitucion,51,2,,,"IGLESIAS PALLAS, FERNANDO","RIVADULLA QUINTAS, LUIS MIGUEL",1,2-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,sustitucion,54,2,,,"GOMEZ SANTISO, ALEJANDRO","CASTRO DOMINGUEZ, FRANCISCO",1,2-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,sustitucion,54,2,,,"VARELA VAZQUEZ, DAVID","GARCIA CARRERA, MANUEL",2,2-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,sustitucion,57,2,,,"CANABAL DE LA FUENTE, CRISTIAN","RIVEIRA MURCIA, HUGO",3,2-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,gol,63,2,"BARRUSO ARIAS, HUGO",normal,,,,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,sustitucion,64,2,,,"CHEDAS DURAN, ALFONSO","GOMEZ CORA, ADRIAN",2,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,tarjeta amarilla,75,2,"IGLESIAS PALLAS, FERNANDO",,,,,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,sustitucion,75,2,,,"VILLAMAYOR RIVADULLA, PEDRO","DOVAL GARCIA, ION",4,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,sustitucion,75,2,,,"ABONJO BOUZAS, ALEJANDRO","ESPIÑO CUIÑA, LOIS",5,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,sustitucion,77,2,,,"ULLA COSTA, RICARDO","CERVIÑO CARRACEDO, ANDRES",3,3-1
