minuto,jugador,tipo_gol,equipo,marcador,cod_acta
11,"GONZALEZ CARBALLO, ANXO",Normal,S.D. VILLESTRO,1-0,1186958
24,"BESTEIRO SAEZ, JAVIER",Normal,C.D. SAN MAMED,1-1,1186958
54,"PEREZ MARTINEZ, SAMUEL",Normal,C.D. SAN MAMED,1-2,1186958
80,"DE SOUSA OLIVEIRA, THIAGO",Normal,S.D. VILLESTRO,2-2,1186958
31,"RIOS ALCAIDE, JUAN MANUEL",Normal,LAMELA C.F.,0-1,1186959
35,"PARADA CASTIÑEIRAS, OSCAR",Penalti,A.C.U.D. CAMPORRAPADO,1-1,1186959
41,"CASTRO DOMINGUEZ, FRANCISCO",Normal,LAMELA C.F.,1-2,1186959
45'+3,"CASTRO DOMINGUEZ, FRANCISCO",Normal,LAMELA C.F.,1-3,1186959
60,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,1-4,1186959
10,"SEIJO CASTRO, YAGO",Normal,C.D.BELVIS,1-0,1186960
20,"FERNÁNDEZ GARCÍA, RUBÉN",Normal,C.F. SILLEDA,1-1,1186960
88,"FERNÁNDEZ GARCÍA, RUBÉN",Normal,C.F. SILLEDA,1-2,1186960
90'+2,"PROL BREA, DIEGO",Normal,C.D.BELVIS,2-2,1186960
74,"VAAMONDE CALVIÑO, MANUEL",Propia Puerta,C.D. SPORT TEAM ESTRADA,1-0,1186961
37,"FARIÑAS LOPEZ, ALEJANDRO",Normal,SOCIEDADE DEPORTIVA O PINO,1-0,1186962
48,"SOTO PARCERO, DANIEL",Normal,S.D. CRUCES,1-1,1186962
70,"CEREIJO IGLESIAS, ALBERTO L",Normal,SOCIEDADE DEPORTIVA O PINO,2-1,1186962
90'+4,"FERREIRO RIAL, RUBEN",Normal,SOCIEDADE DEPORTIVA O PINO,3-1,1186962
16,"FORJAN GARCIA, ADRIAN",Normal,S.D. DUBRA B,0-1,1186963
24,"DUBRA LORENZO, ALEJANDRO",Normal,S.D. DUBRA B,0-2,1186963
