minuto,jugador,tipo_gol,equipo,marcador,cod_acta
25,"BARRUSO ARIAS, HUGO",Normal,C.D. SPORT TEAM ESTRADA,1-0,1187029
34,"GOMEZ LOPEZ, EZEQUIEL",Normal,C.D. SPORT TEAM ESTRADA,2-0,1187029
37,"BARRUSO ARIAS, HUGO",Normal,C.D. SPORT TEAM ESTRADA,3-0,1187029
44,"GOMEZ LOPEZ, EZEQUIEL",Normal,C.D. SPORT TEAM ESTRADA,4-0,1187029
50,"LAHSAN, MESAUD MOHAMED FADEL",Normal,C.D. SPORT TEAM ESTRADA,5-0,1187029
52,"CERVIÑO CARRACEDO, ANDRES",Normal,C.D. SPORT TEAM ESTRADA,6-0,1187029
65,"CERVIÑO CARRACEDO, ANDRES",Normal,C.D. SPORT TEAM ESTRADA,7-0,1187029
67,"LAHSAN, MESAUD MOHAMED FADEL",Normal,C.D. SPORT TEAM ESTRADA,8-0,1187029
72,"RIVADULLA QUINTAS, LUIS MIGUEL",Normal,C.D. SPORT TEAM ESTRADA,9-0,1187029
57,"CALVIÑO IGLESIAS, PABLO",Normal,U.D. VAL DO ULLA,1-0,1187030
69,"NEIRA CARPINTEIRO, PABLO",Normal,U.D. VAL DO ULLA,2-0,1187030
58,"TORRES TEIXEIRA, ALEXANDRE",Normal,U.D. VAL DO ULLA,0-1,1187031
61,"RODRIGUEZ NUÑEZ, XABIER",Normal,U.D. VAL DO ULLA,0-2,1187031
72,"DOMINGUEZ GARCIA, ADRIAN",Normal,S.D. CRUCES,0-1,1187032
14,"FIGUEIRAS PORTELA, FERNANDO",Normal,S.D. VILLESTRO,1-0,1187033
32,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",Normal,S.D. CACHEIRAS,1-1,1187033
90'+6,"BENITEZ SANHUEZA, LEONARDO",Normal,S.D. CACHEIRAS,1-2,1187033
74,"REY CALVO, BRAIS",Normal,C.D. SAN MAMED,1-0,1187034
77,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,1-1,1187034
90'+3,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,1-2,1187034
25,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,1-0,1187035
56,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,2-0,1187035
58,"CASTRO DOMINGUEZ, FRANCISCO",Normal,LAMELA C.F.,2-1,1187035
79,"MOSTEIRO GARCIA, SERGIO",Normal,C.F. CIRE DE MELIDE,3-1,1187035
86,"RODRIGUEZ FARIÑA, ALEJANDRO",Propia Puerta,C.F. CIRE DE MELIDE,4-1,1187035
90'+2,"RIVADULLA FOCIÑOS, MARCOS",Normal,C.F. CIRE DE MELIDE,5-1,1187035
3,"ROMERO MONTOUTO, PABLO",Normal,RODEIRO C.F.,1-0,1187036
28,"ROMERO MONTOUTO, PABLO",Normal,RODEIRO C.F.,2-0,1187036
69,"CANGADO VILLAMARIN, CARLOS",Normal,RODEIRO C.F.,3-0,1187036
78,"ROMERO MONTOUTO, PABLO",Normal,RODEIRO C.F.,4-0,1187036
3,"CHEDAS DURAN, ALFONSO",Normal,C.D. SPORT TEAM ESTRADA,0-1,1187038
43,"CEREIJO IGLESIAS, ALBERTO L",Normal,SOCIEDADE DEPORTIVA O PINO,1-1,1187038
52,"VAZQUEZ CORRAL, JORGE",Penalti,SOCIEDADE DEPORTIVA O PINO,2-1,1187038
27,"DUBRA LORENZO, ALEJANDRO",Normal,S.D. DUBRA B,1-0,1187039
35,"CANCELA CONDE, ALEJANDRO",Normal,TRAZO C.F.,1-1,1187039
48,"RIAL GARCIA, SEBASTIAN",Normal,TRAZO C.F.,1-2,1187039
58,"CERNADAS NOYA, LUCAS",Normal,S.D. DUBRA B,2-2,1187039
22,"KHALLOUK EL AMRANI, MOHAMED",Normal,S.D. CRUCES,1-0,1187040
35,"LORENZO GARRIDO, JORGE",Normal,S.D. VILLESTRO,1-1,1187040
38,"LOPEZ REY, LEO",Normal,S.D. CRUCES,2-1,1187040
47,"DOMINGUEZ GARCIA, ADRIAN",Normal,S.D. CRUCES,3-1,1187040
73,"PEREZ RIO, VICTOR",Normal,S.D. VILLESTRO,3-2,1187040
40,"RENDO GUITIAN, ALEXANDRE",Normal,C.D. SAN MAMED,0-1,1187041
53,"BENITEZ SANHUEZA, LEONARDO",Normal,S.D. CACHEIRAS,1-1,1187041
55,"VAAMONDE CALVIÑO, MANUEL",Normal,S.D. CACHEIRAS,2-1,1187041
90'+3,"BOUZAS MOSQUERA, MANUEL",Penalti,S.D. CACHEIRAS,3-1,1187041
59,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,0-1,1187042
66,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,1-1,1187042
76,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,1-2,1187042
86,"SESTO MOSQUERA, ANXO",Normal,C.F. CIRE DE MELIDE,1-3,1187042
90'+4,"SESTO MOSQUERA, ANXO",Normal,C.F. CIRE DE MELIDE,1-4,1187042
13,"BERNARDEZ VILAR, ALEJANDRO",Normal,RODEIRO C.F.,0-1,1187043
14,"ROMERO MONTOUTO, PABLO",Normal,RODEIRO C.F.,0-2,1187043
15,"GARCIA VENCE, JOSE MANUEL",Normal,RODEIRO C.F.,0-3,1187043
27,"GARCIA VENCE, JOSE MANUEL",Normal,RODEIRO C.F.,0-4,1187043
53,"RIOS ALCAIDE, JUAN MANUEL",Normal,LAMELA C.F.,1-4,1187043
89,"CANGADO VILLAMARIN, CARLOS",Normal,RODEIRO C.F.,1-5,1187043
45'+1,"FRANCO SANMARTIN, CARLOS L",Normal,S.D.C. RECESENDE,0-1,1187044
53,"NOYA GOMEZ, DANIEL",Normal,S.D.C. RECESENDE,0-2,1187044
90'+3,"ESPADA PAZOS, JORGE",Normal,A.C.U.D. CAMPORRAPADO,1-2,1187044
32,"RAMOS CASTRO, ANDRÉS",Normal,C.D.BELVIS,1-0,1187045
43,"FRANCOS CREGO, JULIAN",Normal,C.D.BELVIS,2-0,1187045
13,"BARRUSO ARIAS, HUGO",Normal,C.D. SPORT TEAM ESTRADA,0-1,1187046
22,"BARRUSO ARIAS, HUGO",Normal,C.D. SPORT TEAM ESTRADA,0-2,1187046
37,"BARRUSO ARIAS, HUGO",Normal,C.D. SPORT TEAM ESTRADA,0-3,1187046
39,"CERVIÑO CARRACEDO, ANDRES",Normal,C.D. SPORT TEAM ESTRADA,0-4,1187046
47,"TAIBO MERA, FRANCISCO",Normal,U.D. VAL DO ULLA,1-4,1187046
48,"RODRIGUEZ NUÑEZ, XABIER",Normal,U.D. VAL DO ULLA,2-4,1187046
62,"FERNANDEZ GONZALEZ, IAGO JOSE",Normal,C.D. SPORT TEAM ESTRADA,2-5,1187046
79,"GOMEZ LOPEZ, EZEQUIEL",Normal,C.D. SPORT TEAM ESTRADA,2-6,1187046
80,"GOMEZ LOPEZ, EZEQUIEL",Propia Puerta,U.D. VAL DO ULLA,3-6,1187046
7,"SANCHEZ CARPINTEIRO, MIGUEL",Normal,U.D. VAL DO ULLA,1-0,1187047
11,"FORJAN GARCIA, ADRIAN",Normal,S.D. DUBRA B,0-1,1187048
35,"CASTRO MOAR, BRAIS",Normal,S.D. VILLESTRO,1-1,1187048
19,"CASAL ALVAREZ, DAVID",Propia Puerta,S.D. CRUCES,0-1,1187049
53,"FAILDE FIESTRAS, ALEJANDRO",Normal,S.D. CRUCES,0-2,1187049
76,"SENDE MALLO, DIEGO",Penalti,C.D. SAN MAMED,1-2,1187049
14,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,0-1,1187050
36,"CARBALLAL MONTEAGUDO, SAUL",Normal,S.D. CACHEIRAS,0-2,1187050
40,"POLO ABAD, ASIER",Normal,C.F. CIRE DE MELIDE,1-2,1187050
29,"OTERO ARIAS, JOSE L",Normal,RODEIRO C.F.,1-0,1187051
39,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,1-1,1187051
67,"ROMERO MONTOUTO, PABLO",Normal,RODEIRO C.F.,2-1,1187051
82,"GARCIA VENCE, JOSE MANUEL",Normal,RODEIRO C.F.,3-1,1187051
44,"DOVAL GARCIA, ION",Normal,LAMELA C.F.,0-1,1187052
72,"CASTRO DOMINGUEZ, FRANCISCO",Normal,LAMELA C.F.,0-2,1187052
23,"SAINZ TRESGUERRAS, JESUS FERNANDO",Normal,SOCIEDADE DEPORTIVA O PINO,1-0,1187053
39,"LOPEZ CANICOBA, FABIAN",Penalti,A.C.U.D. CAMPORRAPADO,1-1,1187053
50,"VAZQUEZ CORRAL, JORGE",Normal,SOCIEDADE DEPORTIVA O PINO,2-1,1187053
89,"GOMEZ CORA, ADRIAN",Normal,C.D. SPORT TEAM ESTRADA,1-0,1187054
90'+5,"LAHSAN, MESAUD MOHAMED FADEL",Normal,C.D. SPORT TEAM ESTRADA,2-0,1187054
17,"CHAS BROCOS, IAGO SENEN",Normal,C.D. SAN MAMED,0-1,1187056
48,"DUBRA LORENZO, ALEJANDRO",Normal,S.D. DUBRA B,1-1,1187056
71,"FORJAN GARCIA, ADRIAN",Normal,S.D. DUBRA B,2-1,1187056
33,"LOPEZ REY, LEO",Normal,S.D. CRUCES,1-0,1187057
42,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,1-1,1187057
84,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,1-2,1187057
66,"ROMERO MONTOUTO, PABLO",Normal,RODEIRO C.F.,0-1,1187058
87,"FARIÑA BRAVO, ADRIAN",Normal,S.D. CACHEIRAS,1-1,1187058
41,"PICANS REY, HUGO",Normal,C.F. SILLEDA,1-0,1187059
60,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,2-0,1187059
74,"SUAREZ PEON, DIEGO",Normal,C.F. SILLEDA,3-0,1187059
80,"FERNÁNDEZ GARCÍA, RUBÉN",Normal,C.F. SILLEDA,4-0,1187059
59,"VARELA VAZQUEZ, DAVID",Normal,LAMELA C.F.,1-0,1187060
66,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,2-0,1187060
76,"FUENTES CORREA, MANUEL",Normal,C.D. SPORT TEAM ESTRADA,0-1,1187061
81,"CHEDAS DURAN, ALFONSO",Normal,C.D. SPORT TEAM ESTRADA,0-2,1187061
14,"MIGUEZ MEIJOMIL, MIGUEL",Normal,C.D.BELVIS,1-0,1187062
44,"RUZA VAZQUEZ, BRAIS",Normal,C.D.BELVIS,0-1,1187063
48,"GARCIA CASAL, IVAN",Normal,A.C.U.D. CAMPORRAPADO,1-1,1187063
80,"RAMOS CASTRO, ANDRÉS",Normal,C.D.BELVIS,1-2,1187063
16,"FERNANDEZ GONZALEZ, IAGO JOSE",Normal,C.D. SPORT TEAM ESTRADA,0-1,1187064
22,"FIGUEIRAS GARCIA, PAULO",Normal,C.D. SPORT TEAM ESTRADA,0-2,1187064
50,"FIGUEIRAS GARCIA, PAULO",Normal,C.D. SPORT TEAM ESTRADA,0-3,1187064
80,"ULLA COSTA, RICARDO",Normal,C.D. SPORT TEAM ESTRADA,0-4,1187064
81,"GOMEZ LOPEZ, EZEQUIEL",Normal,C.D. SPORT TEAM ESTRADA,0-5,1187064
11,"PICANS REY, HUGO",Normal,C.F. SILLEDA,1-0,1187065
16,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,2-0,1187065
47,"PAZO DURO, JAVIER",Normal,SOCIEDADE DEPORTIVA O PINO,2-1,1187065
64,"SUAREZ PEON, DIEGO",Normal,C.F. SILLEDA,3-1,1187065
86,"SUAREZ PEON, DIEGO",Normal,C.F. SILLEDA,4-1,1187065
35,"MARTINS TERRON, WAGNER RONALDO",Normal,S.D.C. RECESENDE,0-1,1187066
70,"SALGUEIRO POMBO, DAVID",Penalti,S.D. CACHEIRAS,1-1,1187066
17,"DOMINGUEZ GARCIA, ADRIAN",Normal,S.D. CRUCES,1-0,1187067
47,"LOPEZ REY, LEO",Normal,S.D. CRUCES,2-0,1187067
58,"BERNARDEZ VILAR, ALEJANDRO",Normal,RODEIRO C.F.,2-1,1187067
88,"GRANJA HERMIDA, JESUS ANTONIO",Normal,S.D. CRUCES,3-1,1187067
4,"POLO ABAD, ASIER",Normal,C.F. CIRE DE MELIDE,0-1,1187068
22,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,0-2,1187068
60,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,0-3,1187068
36,"VILA IGLESIAS, JORDAN",Normal,C.D. SAN MAMED,0-1,1187069
77,"BECERRA MALLO, ADRIAN",Normal,TRAZO C.F.,1-1,1187069
86,"BESTEIRO SAEZ, JAVIER",Normal,C.D. SAN MAMED,1-2,1187069
90'+4,"FERREIRA PARENTE, RAUL",Normal,TRAZO C.F.,2-2,1187069
19,"PEREZ MARCOS, VICTOR",Normal,S.D. VILLESTRO,1-0,1187070
27,"FREIRIA LOPEZ, JORGE",Normal,U.D. VAL DO ULLA,1-1,1187070
34,"FREIRIA LOPEZ, JORGE",Normal,U.D. VAL DO ULLA,1-2,1187070
50,"LORENZO GARRIDO, JORGE",Penalti,S.D. VILLESTRO,2-2,1187070
63,"PEREZ RIO, VICTOR",Normal,S.D. VILLESTRO,3-2,1187070
30,"TORRES TEIXEIRA, ALEXANDRE",Normal,U.D. VAL DO ULLA,1-0,1272370
47,"FREIRIA LOPEZ, IGNACIO",Penalti,U.D. VAL DO ULLA,2-0,1272370
51,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,0-1,1272366
83,"FARIÑAS FREIRE, OSCAR",Normal,C.D.BELVIS,1-1,1272366
88,"ESPIÑO CUIÑA, LOIS",Normal,LAMELA C.F.,1-2,1272366
5,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,0-1,1272369
55,"LOPEZ PEDREIRA, SERGIO",Normal,C.D. SPORT TEAM ESTRADA,1-1,1272369
66,"BARRUSO ARIAS, HUGO",Normal,C.D. SPORT TEAM ESTRADA,2-1,1272369
82,"ULLA COSTA, RICARDO",Normal,C.D. SPORT TEAM ESTRADA,3-1,1272369
86,"CERVIÑO CARRACEDO, ANDRES",Normal,C.D. SPORT TEAM ESTRADA,4-1,1272369
25,"NUÑEZ BARRAL, DAVID",Normal,S.D.C. RECESENDE,1-0,1272372
32,"LYAGOUBI, MOHAMED AMINE",Normal,S.D. CRUCES,1-1,1272372
37,"FRANCO SANMARTIN, CARLOS L",Normal,S.D.C. RECESENDE,2-1,1272372
65,"LOPEZ REY, LEO",Normal,S.D. CRUCES,2-2,1272372
21,"CUÑARRO FERNÁNDEZ, PABLO",Normal,RODEIRO C.F.,1-0,1272367
83,"LIÑARES NOYA, FABIAN",Normal,S.D. DUBRA B,1-1,1272367
40,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,1-0,1272371
60,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,2-0,1272371
70,"MONTERROSO GOMEZ, SERGIO",Normal,C.F. CIRE DE MELIDE,3-0,1272371
80,"PAMPIN NOGUEROL, DANIEL",Normal,C.F. CIRE DE MELIDE,4-0,1272371
40,"DOS SANTOS MARQUES, ALEANDRO",Normal,S.D. VILLESTRO,0-1,1272368
90,"VIDAL LOSA, ROBERTO",Normal,S.D. VILLESTRO,0-2,1272368
13,"RIVEIRA MURCIA, HUGO",Normal,LAMELA C.F.,1-0,1187079
43,"VARELA VAZQUEZ, DAVID",Normal,LAMELA C.F.,2-0,1187079
55,"CANABAL DE LA FUENTE, CRISTIAN",Normal,LAMELA C.F.,3-0,1187079
72,"CASTRO DOMINGUEZ, FRANCISCO",Normal,LAMELA C.F.,4-0,1187079
75,"VARELA VAZQUEZ, DAVID",Normal,LAMELA C.F.,5-0,1187079
77,"CASTRO DOMINGUEZ, FRANCISCO",Normal,LAMELA C.F.,6-0,1187079
85,"GARCIA REY, ALEJANDRO",Normal,LAMELA C.F.,7-0,1187079
89,"VARELA VAZQUEZ, DAVID",Normal,LAMELA C.F.,8-0,1187079
35,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,1-0,1187080
42,"PICANS REY, HUGO",Normal,C.F. SILLEDA,2-0,1187080
87,"VILLAVERDE SIXTO, BRAIS",Normal,C.D.BELVIS,2-1,1187080
90'+1,"MIGUEZ MEIJOMIL, MIGUEL",Normal,C.D.BELVIS,2-2,1187080
70,"MARTINEZ RODRIGUEZ, JOSE EMILIO",Normal,S.D. CACHEIRAS,1-0,1187081
30,"SOTO PARCERO, DANIEL",Normal,S.D. CRUCES,1-0,1187082
80,"DOMINGUEZ VAZQUEZ, CRISTIAN",Penalti,S.D. CRUCES,2-0,1187082
83,"VAZQUEZ CORRAL, JORGE",Normal,SOCIEDADE DEPORTIVA O PINO,2-1,1187082
13,"NOYA GOMEZ, DANIEL",Normal,S.D.C. RECESENDE,0-1,1187083
38,"CERNADAS NOYA, LUCAS",Normal,S.D. DUBRA B,1-1,1187083
38,"CANGADO VILLAMARIN, CARLOS",Normal,RODEIRO C.F.,0-1,1187084
48,"RIAL GARCIA, SEBASTIAN",Penalti,TRAZO C.F.,1-1,1187084
65,"RIAL GARCIA, SEBASTIAN",Normal,TRAZO C.F.,2-1,1187084
72,"CUÑARRO FERNÁNDEZ, PABLO",Normal,RODEIRO C.F.,2-2,1187084
17,"VAZQUEZ RAMOS, OMAR A",Normal,C.F. CIRE DE MELIDE,0-1,1187085
28,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,0-2,1187085
37,"PAN PEREZ PUJOL, PABLO",Normal,S.D. VILLESTRO,1-2,1187085
51,"LORENZO GARRIDO, JORGE",Penalti,S.D. VILLESTRO,2-2,1187085
45'+2,"ROMARÍS CAMPAÑA, ALBERTO",Normal,U.D. VAL DO ULLA,0-1,1187086
39,"RODRIGUEZ NUÑEZ, XABIER",Normal,U.D. VAL DO ULLA,1-0,1187087
44,"VARELA VAZQUEZ, DAVID",Normal,LAMELA C.F.,1-1,1187087
65,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,1-2,1187087
75,"VARELA VAZQUEZ, DAVID",Normal,LAMELA C.F.,1-3,1187087
24,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,0-1,1187088
66,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,0-2,1187088
78,"PICANS REY, HUGO",Normal,C.F. SILLEDA,0-3,1187088
47,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,0-1,1187089
87,"VAAMONDE CALVIÑO, MANUEL",Normal,S.D. CACHEIRAS,0-2,1187089
90'+2,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,0-3,1187089
20,"CHEDAS DURAN, ALFONSO",Normal,C.D. SPORT TEAM ESTRADA,1-0,1187090
51,"GOMEZ LOPEZ, EZEQUIEL",Normal,C.D. SPORT TEAM ESTRADA,2-0,1187090
87,"RIVADULLA QUINTAS, LUIS MIGUEL",Normal,C.D. SPORT TEAM ESTRADA,3-0,1187090
43,"LIÑARES NOYA, FABIAN",Normal,S.D. DUBRA B,0-1,1187091
48,"SAINZ TRESGUERRAS, JESUS FERNANDO",Normal,SOCIEDADE DEPORTIVA O PINO,1-1,1187091
49,"GARCIA MARROZOS, XABIER",Normal,S.D. DUBRA B,1-2,1187091
74,"RIVAS SUAREZ, MARTIN",Normal,S.D. DUBRA B,1-3,1187091
81,"SAINZ TRESGUERRAS, JESUS FERNANDO",Normal,SOCIEDADE DEPORTIVA O PINO,2-3,1187091
19,"FERREIRA PARENTE, RAUL",Normal,TRAZO C.F.,0-1,1187092
44,"OTERO ARIAS, JOSE L",Normal,RODEIRO C.F.,1-0,1187093
45'+2,"ZAGATO PEREIRA, JOAO VITOR",Normal,S.D. VILLESTRO,1-1,1187093
84,"FERREIRO CAMBA, MANUEL",Normal,RODEIRO C.F.,2-1,1187093
89,"OTERO ARIAS, JOSE L",Normal,RODEIRO C.F.,3-1,1187093
31,"POLO ABAD, ASIER",Normal,C.F. CIRE DE MELIDE,1-0,1187094
38,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,2-0,1187094
61,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,3-0,1187094
79,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,4-0,1187094
2,"LAMELA RODRIGUEZ, NICOLAS",Propia Puerta,LAMELA C.F.,0-1,1187095
16,"ESPIÑO CUIÑA, LOIS",Normal,LAMELA C.F.,0-2,1187095
27,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,1-2,1187095
31,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,2-2,1187095
56,"VARELA VAZQUEZ, DAVID",Normal,LAMELA C.F.,2-3,1187095
37,"GARCIA CASAL, IVAN",Normal,A.C.U.D. CAMPORRAPADO,0-1,1187096
45'+3,"CARBALLAL MONTEAGUDO, SAUL",Normal,S.D. CACHEIRAS,1-1,1187096
62,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,2-1,1187096
14,"PROL BREA, DIEGO",Propia Puerta,S.D. CRUCES,1-0,1187097
34,"LOPEZ REY, LEO",Normal,S.D. CRUCES,2-0,1187097
5,"FUENTES CORREA, MANUEL",Normal,C.D. SPORT TEAM ESTRADA,0-1,1187098
27,"CERVIÑO CARRACEDO, ANDRES",Penalti,C.D. SPORT TEAM ESTRADA,0-2,1187098
39,"RIVEIRA DA COSTA, MARTIN",Normal,C.D. SPORT TEAM ESTRADA,0-3,1187098
44,"FORJAN GARCIA, ADRIAN",Normal,S.D. DUBRA B,1-3,1187098
66,"RIVAS SUAREZ, MARTIN",Normal,S.D. DUBRA B,2-3,1187098
80,"VARELA MIRANDA, MATEO",Normal,C.D. SPORT TEAM ESTRADA,2-4,1187098
83,"RIVEIRA DA COSTA, MARTIN",Normal,C.D. SPORT TEAM ESTRADA,2-5,1187098
4,"RIAL GARCIA, SEBASTIAN",Normal,TRAZO C.F.,1-0,1187099
21,"CARRIL CARREIRA, RAFAEL",Normal,SOCIEDADE DEPORTIVA O PINO,1-1,1187099
81,"FARIÑAS LOPEZ, ALEJANDRO",Normal,SOCIEDADE DEPORTIVA O PINO,1-2,1187099
89,"CASTRO OTERO, SAMUEL",Normal,TRAZO C.F.,2-2,1187099
18,"DE SOUSA OLIVEIRA, THIAGO",Normal,S.D. VILLESTRO,1-0,1187100
30,"DE SOUSA OLIVEIRA, THIAGO",Normal,S.D. VILLESTRO,2-0,1187100
71,"ROSENDE MARTINEZ, ALEJANDRO",Normal,S.D.C. RECESENDE,2-1,1187100
73,"PEREZ RIO, VICTOR",Normal,S.D. VILLESTRO,3-1,1187100
32,"LOUZAO FERNANDEZ, MANUEL",Normal,C.D. SAN MAMED,1-0,1187101
44,"OTERO ARIAS, JOSE L",Normal,RODEIRO C.F.,1-1,1187101
86,"MACEIRA MATO, ALFONSO",Normal,C.D. SAN MAMED,2-1,1187101
44,"VAZQUEZ NOVAS, MANUEL",Normal,C.F. CIRE DE MELIDE,1-0,1187102
60,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,2-0,1187102
76,"VAZQUEZ NOVAS, MANUEL",Normal,C.F. CIRE DE MELIDE,3-0,1187102
9,"FREIRIA LOPEZ, IGNACIO",Normal,U.D. VAL DO ULLA,1-0,1187103
20,"CALVIÑO IGLESIAS, PABLO",Normal,U.D. VAL DO ULLA,2-0,1187103
24,"RODRIGUEZ NUÑEZ, XABIER",Normal,U.D. VAL DO ULLA,3-0,1187103
45'+2,"NUÑEZ GONZALEZ, MIGUEL",Normal,C.F. SILLEDA,3-1,1187103
42,"RIVEIRA MURCIA, HUGO",Normal,LAMELA C.F.,1-0,1187104
58,"FARIÑA BRAVO, ADRIAN",Normal,S.D. CACHEIRAS,1-1,1187104
80,"ABONJO BOUZAS, ALEJANDRO",Normal,LAMELA C.F.,2-1,1187104
68,"FAILDE FIESTRAS, ALEJANDRO",Normal,S.D. CRUCES,0-1,1187105
27,"PAZOS MARTINEZ, ROBERTO",Normal,S.D. DUBRA B,0-1,1187106
87,"PARAMA SUAREZ, DAVID RAFAEL",Normal,S.D. DUBRA B,0-2,1187106
1,"GOMEZ CORA, ADRIAN",Normal,C.D. SPORT TEAM ESTRADA,1-0,1187107
50,"CERVIÑO CARRACEDO, ANDRES",Normal,C.D. SPORT TEAM ESTRADA,2-0,1187107
70,"FERNANDEZ GONZALEZ, IAGO JOSE",Normal,C.D. SPORT TEAM ESTRADA,3-0,1187107
79,"LOPEZ PEDREIRA, SERGIO",Normal,C.D. SPORT TEAM ESTRADA,4-0,1187107
17,"SAINZ TRESGUERRAS, JESUS FERNANDO",Normal,SOCIEDADE DEPORTIVA O PINO,1-0,1187108
31,"LORENZO GARRIDO, JORGE",Normal,S.D. VILLESTRO,1-1,1187108
36,"VARELA LODEIRO, GABRIEL",Normal,SOCIEDADE DEPORTIVA O PINO,2-1,1187108
83,"FIGUEIRAS PORTELA, FERNANDO",Normal,S.D. VILLESTRO,2-2,1187108
90'+2,"FARIÑAS LOPEZ, ALEJANDRO",Normal,SOCIEDADE DEPORTIVA O PINO,3-2,1187108
10,"NUÑEZ BARRAL, DAVID",Normal,S.D.C. RECESENDE,1-0,1187109
1,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,0-1,1187110
62,"VAZQUEZ NOVAS, MANUEL",Normal,C.F. CIRE DE MELIDE,0-2,1187110
6,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,1-0,1187111
7,"VAAMONDE CALVIÑO, MANUEL",Normal,S.D. CACHEIRAS,2-0,1187111
10,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,3-0,1187111
11,"VAAMONDE CALVIÑO, MANUEL",Normal,S.D. CACHEIRAS,4-0,1187111
29,"LOPEZ DE LA FUENTE, ELOI",Propia Puerta,S.D. CACHEIRAS,5-0,1187111
77,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",Normal,S.D. CACHEIRAS,6-0,1187111
90,"CARBALLAL MONTEAGUDO, SAUL",Normal,S.D. CACHEIRAS,7-0,1187111
22,"FIGUEIRAS GAGO, ALEJANDRO",Normal,LAMELA C.F.,0-1,1187112
24,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,0-2,1187112
32,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,0-3,1187112
46,"AGUIAR RODRIGUEZ, JULIAN",Normal,LAMELA C.F.,0-4,1187112
11,"FORJAN GARCIA, ADRIAN",Normal,S.D. DUBRA B,1-0,1187113
24,"VIEITES BOUZON, MARTIN",Normal,A.C.U.D. CAMPORRAPADO,1-1,1187113
29,"PAZOS MARTINEZ, ROBERTO",Normal,S.D. DUBRA B,2-1,1187113
38,"FORJAN GARCIA, ADRIAN",Normal,S.D. DUBRA B,3-1,1187113
90'+2,"LIÑARES NOYA, FABIAN",Normal,S.D. DUBRA B,4-1,1187113
32,"BAÑA TOME, ALEJANDRO",Normal,C.D.BELVIS,0-1,1187114
37,"RAMOS CASTRO, ANDRÉS",Normal,C.D.BELVIS,0-2,1187114
73,"RIAL GARCIA, SEBASTIAN",Normal,TRAZO C.F.,1-2,1187114
90'+1,"RIAL GARCIA, SEBASTIAN",Normal,TRAZO C.F.,2-2,1187114
20,"CERVIÑO CARRACEDO, ANDRES",Normal,C.D. SPORT TEAM ESTRADA,0-1,1187115
40,"DE SOUSA OLIVEIRA, THIAGO",Penalti,S.D. VILLESTRO,1-1,1187115
