jugador_entra,jugador_sale,minuto,equipo,cod_acta
"NOYA GOMEZ, DANIEL","FRANCO SANMARTIN, CARLOS L",73,S.D.C. RECESENDE,1186972
"GARCIA DURAN, RUBEN","TORRES SUAREZ, SANTIAGO",73,S.D.C. RECESENDE,1186972
"GONZALEZ CALVELO, LEO","RODRIGUEZ GONZALEZ, YAGO",59,S.D. VILLESTRO,1186973
"BRITO GUZMAN, ALVARO","VILLA MARIÑO, SERGIO",59,S.D. VILLESTRO,1186973
"PAN PEREZ PUJOL, PABLO","NIETO GOMEZ, JAVIER",59,S.D. VILLESTRO,1186973
"FIGUEIRAS PORTELA, FERNANDO","GONZALEZ CARBALLO, ANXO",66,S.D. VILLESTRO,1186973
"FUENTES OTERO, ANDRES","DOS SANTOS MARQUES, ALEANDRO",82,S.D. VILLESTRO,1186973
"LÓPEZ MÉNDEZ, MARCOS","ROMERO MONTOUTO, PABLO",46,RODEIRO C.F.,1186973
"AREÁN DIEGUEZ, OVIDIO","CANGADO VILLAMARIN, CARLOS",46,RODEIRO C.F.,1186973
"FERREIRO CAMBA, MANUEL","CALVO DAFONTE, RAÚL",67,RODEIRO C.F.,1186973
"BESTEIRO SAEZ, JAVIER","REY CALVO, MARTIN",54,C.D. SAN MAMED,1186974
"REY CALVO, BRAIS","CASAL ALVAREZ, DAVID",74,C.D. SAN MAMED,1186974
"MACEIRA MATO, ALFONSO","CANABAL PARADA, RUBEN",74,C.D. SAN MAMED,1186974
"PAMPIN NOGUEROL, DANIEL","MOSTEIRO GARCIA, SERGIO",64,C.F. CIRE DE MELIDE,1186974
"RIVADULLA FOCIÑOS, MARCOS","PARRADO ROMERO, CARLOS",78,C.F. CIRE DE MELIDE,1186974
"GOMEZ SANTISO, ALEJANDRO","LÓPEZ PÉREZ, ALBERTO",46,LAMELA C.F.,1186975
"RIOS ALCAIDE, JUAN MANUEL","GARCIA CARRERA, MANUEL",55,LAMELA C.F.,1186975
"CANABAL DE LA FUENTE, CRISTIAN","VARELA VAZQUEZ, DAVID",59,LAMELA C.F.,1186975
"RIVEIRA MURCIA, HUGO","ESPIÑO CUIÑA, LOIS",59,LAMELA C.F.,1186975
"VILLAMAYOR RIVADULLA, PEDRO","FIGUEIRAS GAGO, ALEJANDRO",85,LAMELA C.F.,1186975
"ALONSO GIL, GUILLERMO","LOPEZ DE LA FUENTE, ELOI",46,C.F. SILLEDA,1186975
"SUAREZ PEON, DIEGO","RIELO COUSO, HUGO",63,C.F. SILLEDA,1186975
"ESPIÑO RODRIGUEZ, AARON","CAMBEIRO COSTA, AIRAS",63,C.F. SILLEDA,1186975
"NOGUEIRA GONZALEZ, PABLO","FERNÁNDEZ GARCÍA, RUBÉN",74,C.F. SILLEDA,1186975
"LOPEZ CANICOBA, FABIAN","SANMARTIN LAREO, MANUEL ANGEL",53,A.C.U.D. CAMPORRAPADO,1186976
"PAJARO BARRAN, DANIEL","DOS REIS FERRO, OSCAR",73,A.C.U.D. CAMPORRAPADO,1186976
"GUERRERO NIEVES, FRANCISCO J","VIEITES BOUZON, MARTIN",77,A.C.U.D. CAMPORRAPADO,1186976
"OTERO MATEOS, PABLO","ROMERO DURO, SANDRO",60,S.D. CACHEIRAS,1186976
"GARABAL JORGE, SERGIO","VAAMONDE CALVIÑO, MANUEL",80,S.D. CACHEIRAS,1186976
"MIGUEZ MEIJOMIL, MIGUEL","FERNANDEZ PEREZ, JESUS DE BELEN",46,C.D.BELVIS,1186977
"AMIGO FERNANDEZ, JUAN JOSE","RAMOS CASTRO, ANDRÉS",67,C.D.BELVIS,1186977
"FERNÁNDEZ GALLAS, RODRIGO","GUTIERREZ VAZQUEZ, EDUARDO",90,C.D.BELVIS,1186977
"ALVAREZ BOHORQUEZ, ALEJANDRO JOSUE","IGLESIAS QUINTEIRO, JOSE RAMON",90,C.D.BELVIS,1186977
"FERNANDEZ REBOREDO, JUAN","VAZQUEZ BALBOA, XURXO",10,S.D. CRUCES,1186977
"LOPEZ REY, LEO","DOMINGUEZ VAZQUEZ, CRISTIAN",65,S.D. CRUCES,1186977
"JACOME AMARANTE, IVAN","GRANJA HERMIDA, JESUS ANTONIO",65,S.D. CRUCES,1186977
"MENDEZ REIMONDEZ, SANTIAGO","FUENTES IGLESIAS, CARLOS",85,S.D. CRUCES,1186977
"LAHSAN, MESAUD MOHAMED FADEL","CHEDAS DURAN, ALFONSO",45,C.D. SPORT TEAM ESTRADA,1186978
"GOMEZ LOPEZ, EZEQUIEL","RIVEIRA DA COSTA, MARTIN",55,C.D. SPORT TEAM ESTRADA,1186978
"TOUCEDA GOLDAR, MIGUEL","GOMEZ CORA, ADRIAN",68,C.D. SPORT TEAM ESTRADA,1186978
"MIGUEZ VIDAL, DANIEL","DA COSTA MORLAN, BRAIS",68,C.D. SPORT TEAM ESTRADA,1186978
"FORJAN GARCIA, ADRIAN","DUBRA LORENZO, ALEJANDRO",45,S.D. DUBRA B,1186978
"CERNADAS NOYA, LUCAS","VÁZQUEZ FERNÁNDEZ, ROBERTO",45,S.D. DUBRA B,1186978
"ARNEJO DIAZ, BRAIS","IGLESIAS DOMINGUEZ, OSCAR",89,S.D. DUBRA B,1186978
"RODRIGUEZ FERNANDEZ, ADRIAN","BARDANCA REY, GONZALO",89,S.D. DUBRA B,1186978
"FUENTES PARRA, DANIEL","MARTINEZ MELLA, CRISTHIAN RAMON",46,SOCIEDADE DEPORTIVA O PINO,1186979
"MAESTRE CALVO, DAVID RAFAEL","CEREIJO IGLESIAS, ALBERTO L",46,SOCIEDADE DEPORTIVA O PINO,1186979
"PORTOS VILLAR, BORJA","PAZO DURO, JAVIER",63,SOCIEDADE DEPORTIVA O PINO,1186979
"CANABAL CASTRO, ISMAEL","GARCIA SENRA, DIEGO",63,SOCIEDADE DEPORTIVA O PINO,1186979
"ORTIZ MOLINA, JHON ALI","FARIÑAS LOPEZ, ALEJANDRO",82,SOCIEDADE DEPORTIVA O PINO,1186979
"CELA LOPEZ, LUIS","BOVEDA TOSAR, ANDRE",53,TRAZO C.F.,1186979
"CEBEY DE LA TORRE, MANUEL","BERTOA VIQUEIRA, JOSE J",58,TRAZO C.F.,1186979
"VARELA CAAMAÑO, DANIEL","ARIAS GARCIA, SERGIO",70,TRAZO C.F.,1186979
"MOSQUERA GARRIDO, DIEGO","MEIJOME QUINTANA, RODRIGO",46,S.D.C. RECESENDE,1186980
"VILAS CONSTANTINO, BORJA","ALDREY MÍGUEZ, MANUEL",58,S.D.C. RECESENDE,1186980
"NOYA GOMEZ, DANIEL","NUÑEZ BARRAL, DAVID",89,S.D.C. RECESENDE,1186980
"GARCIA DURAN, RUBEN","DE LA TORRE CUEVAS, FERNANDO",89,S.D.C. RECESENDE,1186980
"CALVO CUTRIN, RAUL","TORRES SUAREZ, SANTIAGO",89,S.D.C. RECESENDE,1186980
"FIGUEIRAS PORTELA, FERNANDO","DE SOUSA OLIVEIRA, THIAGO",46,S.D. VILLESTRO,1186980
"RODRIGUEZ GONZALEZ, YAGO","GONZALEZ CARBALLO, ANXO",53,S.D. VILLESTRO,1186980
"GONZALEZ CALVELO, LEO","PAN PEREZ PUJOL, PABLO",70,S.D. VILLESTRO,1186980
"PEREZ RIO, VICTOR","TABOADA MATO, DAVID",80,S.D. VILLESTRO,1186980
"LAMAZARES CASERO, ALBERTO","SANMARTIN GONZALEZ, XABIER",78,RODEIRO C.F.,1186981
"CALVO DAFONTE, RAÚL","GARCIA VENCE, JOSE MANUEL",78,RODEIRO C.F.,1186981
"CANGADO VILLAMARIN, CARLOS","ROMERO MONTOUTO, PABLO",80,RODEIRO C.F.,1186981
"SENDE MALLO, DIEGO","CHAS BROCOS, IAGO SENEN",50,C.D. SAN MAMED,1186981
"SOUTO RIAL, JOSE","MACEIRA MATO, ALFONSO",61,C.D. SAN MAMED,1186981
"BESTEIRO SAEZ, JAVIER","GRANATA LOPEZ, DANIEL",61,C.D. SAN MAMED,1186981
"REY CALVO, BRAIS","CASAL ALVAREZ, DAVID",68,C.D. SAN MAMED,1186981
"RAMOS CERNADAS, FRANCISCO J","DIEGUEZ LOUREIRO, RAMIRO",46,U.D. VAL DO ULLA,1186982
"RODRIGUEZ NUÑEZ, XABIER","MERA SOUTO, ALEJANDRO",56,U.D. VAL DO ULLA,1186982
"CANICOBA BERNARDEZ, BRAIS","CALVIÑO IGLESIAS, PABLO",56,U.D. VAL DO ULLA,1186982
"CERDEIRA OTERO, ANDRE","CASAL REBOLO, PEDRO J",63,U.D. VAL DO ULLA,1186982
"AMBOAGE VILLAR, IVAN","SANCHEZ CARPINTEIRO, MIGUEL",63,U.D. VAL DO ULLA,1186982
"PAMPIN NOGUEROL, DANIEL","PARRADO ROMERO, CARLOS",59,C.F. CIRE DE MELIDE,1186982
"CASTRELO FERNANDEZ, MIGUEL","MOSTEIRO GOMEZ, ADRIAN",68,C.F. CIRE DE MELIDE,1186982
"RIVADULLA FOCIÑOS, MARCOS","VAZQUEZ NOVAS, MANUEL",71,C.F. CIRE DE MELIDE,1186982
"RODRIGUEZ RODRIGUEZ, JACOBO","PEREIRO SANCHEZ, DAVID",71,C.F. CIRE DE MELIDE,1186982
"LOPEZ DE LA FUENTE, ELOI","FERNÁNDEZ GARCÍA, RUBÉN",65,C.F. SILLEDA,1186983
"ESPIÑO RODRIGUEZ, AARON","ALONSO GIL, GUILLERMO",65,C.F. SILLEDA,1186983
"ESPANTOSO LAMAS, RICARDO","RIELO COUSO, HUGO",79,C.F. SILLEDA,1186983
"CANICOBA BERNARDEZ, BRAIS","BESADA REY, NICOLAS",65,U.D. VAL DO ULLA,1186983
"RODRIGUEZ NUÑEZ, XABIER","CALVIÑO IGLESIAS, PABLO",65,U.D. VAL DO ULLA,1186983
"TAIBO MERA, FRANCISCO","SANCHEZ CARPINTEIRO, MIGUEL",65,U.D. VAL DO ULLA,1186983
"AMBOAGE VILLAR, IVAN","FREIRIA LOPEZ, IGNACIO",79,U.D. VAL DO ULLA,1186983
"CASAL REBOLO, PEDRO J","FREIRIA LOPEZ, JORGE",79,U.D. VAL DO ULLA,1186983
"FARIÑA BRAVO, ADRIAN","ROMERO DURO, SANDRO",46,S.D. CACHEIRAS,1186984
"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO","BAUTISTA SANDOVAL, EMIL DANIEL",46,S.D. CACHEIRAS,1186984
"OTERO MATEOS, PABLO","BENITEZ SANHUEZA, LEONARDO",71,S.D. CACHEIRAS,1186984
"DOSUNA SOUTO, BRAIS","CARBALLAL MONTEAGUDO, SAUL",87,S.D. CACHEIRAS,1186984
"SANIN CARBIA, ALBERTO","VILLAMAYOR RIVADULLA, PEDRO",46,LAMELA C.F.,1186984
"AGUIAR RODRIGUEZ, JULIAN","RIVEIRA MURCIA, HUGO",57,LAMELA C.F.,1186984
"VARELA VAZQUEZ, DAVID","CASTRO DOMINGUEZ, FRANCISCO",62,LAMELA C.F.,1186984
"ESPIÑO CUIÑA, LOIS","ABONJO BOUZAS, ALEJANDRO",62,LAMELA C.F.,1186984
"GARCIA REY, ALEJANDRO","LÓPEZ PÉREZ, ALBERTO",74,LAMELA C.F.,1186984
"GONZALEZ EIRAS, FABIO J","KHALLOUK EL AMRANI, MOHAMED",61,S.D. CRUCES,1186985
"OTERO MARTINEZ, CHRISTIAN","FERNANDEZ REBOREDO, JUAN",64,S.D. CRUCES,1186985
"SANTISO TORREIRO, RICARDO","OTERO IGLESIAS, OSCAR",64,S.D. CRUCES,1186985
"MENDEZ REIMONDEZ, SANTIAGO","JACOME AMARANTE, IVAN",83,S.D. CRUCES,1186985
"PAJARO BARRAN, DANIEL","LOPEZ CANICOBA, FABIAN",60,A.C.U.D. CAMPORRAPADO,1186985
"GUERRERO NIEVES, FRANCISCO J","SANMARTIN LAREO, MANUEL ANGEL",60,A.C.U.D. CAMPORRAPADO,1186985
"GARCÍA CASAL, SANTIAGO","MÍGUEZ SANMARTÍN, MIGUEL",70,A.C.U.D. CAMPORRAPADO,1186985
"DUBRA LORENZO, ALEJANDRO","RODRIGUEZ FERNANDEZ, ADRIAN",55,S.D. DUBRA B,1186986
"LIÑARES NOYA, FABIAN","RODRIGUEZ LANDEIRA, SERGIO J",55,S.D. DUBRA B,1186986
"BALEATO DOMINGUEZ, MARCO","CERNADAS NOYA, LUCAS",73,S.D. DUBRA B,1186986
"NIETO GARCIA, BRAIS","FORJAN GARCIA, ADRIAN",73,S.D. DUBRA B,1186986
"ALVAREZ BOHORQUEZ, ALEJANDRO JOSUE","ALDREY RODRIGUEZ, PABLO C",52,C.D.BELVIS,1186986
"FERNANDEZ PEREZ, JESUS DE BELEN","RAMOS CASTRO, ANDRÉS",52,C.D.BELVIS,1186986
"BERNAL PENAS, LUCAS","GUTIERREZ VAZQUEZ, EDUARDO",65,C.D.BELVIS,1186986
"RODRIGUEZ VILAS, BRAIS","IGLESIAS QUINTEIRO, JOSE RAMON",76,C.D.BELVIS,1186986
"VARELA CAAMAÑO, DANIEL","CEBEY DE LA TORRE, MANUEL",56,TRAZO C.F.,1186987
"FERREIRA PARENTE, RAUL","CASTRO OTERO, SAMUEL",56,TRAZO C.F.,1186987
"BERTOA VIQUEIRA, JOSE J","VILARES TARRIO, BRAIS",58,TRAZO C.F.,1186987
"SANCHEZ CASTRO, SAMUEL","MARTINEZ DE SANTIAGO, DIEGO",58,TRAZO C.F.,1186987
"ROA BECERRA, JAVIER","BELENDA GABIN, JORGE",66,TRAZO C.F.,1186987
"RIVEIRA DA COSTA, MARTIN","GOMEZ CORA, ADRIAN",59,C.D. SPORT TEAM ESTRADA,1186987
"GOMEZ LOPEZ, EZEQUIEL","MARQUE PASEIRO, SAMUEL",59,C.D. SPORT TEAM ESTRADA,1186987
"FUENTES CORREA, MANUEL","CERVIÑO CARRACEDO, ANDRES",59,C.D. SPORT TEAM ESTRADA,1186987
"RIVADULLA QUINTAS, LUIS MIGUEL","TOUCEDA GOLDAR, MIGUEL",63,C.D. SPORT TEAM ESTRADA,1186987
"TARRIO MEJUTO, ANGEL","FERREIRO TORRES, BORJA",63,C.D. SPORT TEAM ESTRADA,1186987
"RODRIGUEZ ESPIÑA, ALEJANDRO","DOS SANTOS MARQUES, ALEANDRO",71,S.D. VILLESTRO,1186988
"NIETO GOMEZ, JAVIER","CASTRO MOAR, BRAIS",71,S.D. VILLESTRO,1186988
"VALVERDE ESTENS, TIAGO","PAN PEREZ PUJOL, PABLO",76,S.D. VILLESTRO,1186988
"TABOADA MATO, DAVID","LISTE MONTOIRO, FRANCISCO",84,S.D. VILLESTRO,1186988
"CEREIJO IGLESIAS, ALBERTO L","CANABAL CASTRO, ISMAEL",46,SOCIEDADE DEPORTIVA O PINO,1186988
"PORTOS VILLAR, BORJA","PAZO DURO, JAVIER",72,SOCIEDADE DEPORTIVA O PINO,1186988
"RIAL CHICO, DANIEL","MAESTRE CALVO, DAVID RAFAEL",83,SOCIEDADE DEPORTIVA O PINO,1186988
"ORTIZ MOLINA, JHON ALI","GOMES TAVARES, RAFAEL ANDRE",87,SOCIEDADE DEPORTIVA O PINO,1186988
"CASAL ALVAREZ, DAVID","MACEIRA MATO, ALFONSO",69,C.D. SAN MAMED,1186989
"LOUZAO FERNANDEZ, MANUEL","RENDO GUITIAN, ALEXANDRE",69,C.D. SAN MAMED,1186989
"CHAS BROCOS, IAGO SENEN","REY CALVO, BRAIS",69,C.D. SAN MAMED,1186989
"MUIÑA BARREIRO, ALEJANDRO","NUÑEZ BARRAL, SEBASTIAN",9,S.D.C. RECESENDE,1186989
"CALVO CUTRIN, RAUL","DE LA TORRE CUEVAS, FERNANDO",54,S.D.C. RECESENDE,1186989
"MEIJOME QUINTANA, RODRIGO","VILAS CONSTANTINO, ADRIAN",63,S.D.C. RECESENDE,1186989
"TORRES SUAREZ, SANTIAGO","MOSQUERA GARRIDO, DIEGO",63,S.D.C. RECESENDE,1186989
"PARRADO ROMERO, CARLOS","PAMPIN NOGUEROL, DANIEL",60,C.F. CIRE DE MELIDE,1186990
"LOPEZ LOPEZ, ADRIAN","CASTRELO FERNANDEZ, MIGUEL",75,C.F. CIRE DE MELIDE,1186990
"VAZQUEZ RAMOS, OMAR A","MOSTEIRO GARCIA, SERGIO",80,C.F. CIRE DE MELIDE,1186990
"CALVO DAFONTE, RAÚL","BARREIRO TURNES, MOISES",46,RODEIRO C.F.,1186990
"QUINTÁ GARCÍA, DAVID","ROMERO MONTOUTO, PABLO",46,RODEIRO C.F.,1186990
"CANGADO VILLAMARIN, CARLOS","GARCIA VENCE, JOSE MANUEL",84,RODEIRO C.F.,1186990
"NOGUEIRA GONZALEZ, PABLO","RIELO COUSO, HUGO",61,C.F. SILLEDA,1186991
"ESPANTOSO LAMAS, RICARDO","CAMBEIRO COSTA, AIRAS",61,C.F. SILLEDA,1186991
"RIADIGOS MARIÑO, MARTIN","NUÑEZ GONZALEZ, MIGUEL",78,C.F. SILLEDA,1186991
"OTERO MATEOS, PABLO","ROMERO DURO, SANDRO",46,S.D. CACHEIRAS,1186991
"CARBALLAL MONTEAGUDO, SAUL","VAAMONDE CALVIÑO, MANUEL",72,S.D. CACHEIRAS,1186991
"JIMENEZ BERTUA, FRANCISCO J","SALGUEIRO POMBO, DAVID",84,S.D. CACHEIRAS,1186991
"VILLAMAYOR RIVADULLA, PEDRO","SANIN CARBIA, ALBERTO",65,LAMELA C.F.,1186992
"ABONJO BOUZAS, ALEJANDRO","RIVEIRA MURCIA, HUGO",65,LAMELA C.F.,1186992
"GARCIA REY, ALEJANDRO","ESPIÑO CUIÑA, LOIS",85,LAMELA C.F.,1186992
"PORTELA RIVAS, XIAO","(90+1') CASTRO DOMINGUEZ, FRANCISCO",0,LAMELA C.F.,1186992
"GONZALEZ EIRAS, FABIO J","KHALLOUK EL AMRANI, MOHAMED",52,S.D. CRUCES,1186992
"FERNANDEZ REBOREDO, JUAN","OTERO IGLESIAS, OSCAR",60,S.D. CRUCES,1186992
"OTERO MARTINEZ, CHRISTIAN","JACOME AMARANTE, IVAN",60,S.D. CRUCES,1186992
"CORBAL CANGADO, BENITO","SOTO PARCERO, DANIEL",75,S.D. CRUCES,1186992
"CANGAS COSTA, DIEGO","GRANJA HERMIDA, JESUS ANTONIO",75,S.D. CRUCES,1186992
"GARCIA CASAL, IVAN","VEIGA ROSENDE, IAGO",60,A.C.U.D. CAMPORRAPADO,1186993
"GUERRERO NIEVES, FRANCISCO J","SANMARTIN LAREO, MANUEL ANGEL",60,A.C.U.D. CAMPORRAPADO,1186993
"PAJARO BARRAN, DANIEL","LOPEZ CANICOBA, FABIAN",73,A.C.U.D. CAMPORRAPADO,1186993
"LOPEZ BREA, SANTIAGO","DOS REIS FERRO, OSCAR",78,A.C.U.D. CAMPORRAPADO,1186993
"IGLESIAS DOMINGUEZ, OSCAR","RODRIGUEZ FERNANDEZ, ADRIAN",46,S.D. DUBRA B,1186993
"PARAFITA BOQUETE, ANGEL","BALEATO DOMINGUEZ, MARCO",46,S.D. DUBRA B,1186993
"VÁZQUEZ FERNÁNDEZ, ROBERTO","LIÑARES NOYA, FABIAN",63,S.D. DUBRA B,1186993
"NIETO GARCIA, BRAIS","FORJAN GARCIA, ADRIAN",63,S.D. DUBRA B,1186993
"SANTIAGO RIVAS, MARIO","BATISTA RAMOS, WALDIR F",55,C.D.BELVIS,1186994
"REY ALVITE, ARTAI","IGLESIAS QUINTEIRO, JOSE RAMON",64,C.D.BELVIS,1186994
"AMIGO FERNANDEZ, JUAN JOSE","RODRIGUEZ VILAS, BRAIS",64,C.D.BELVIS,1186994
"FERNÁNDEZ GALLAS, RODRIGO","FERNANDEZ PEREZ, JESUS DE BELEN",78,C.D.BELVIS,1186994
"EZERROUGUY, MOHAMED SAID","CASTRO OTERO, SAMUEL",45,TRAZO C.F.,1186994
"CEBEY DE LA TORRE, MANUEL","NIETO GESTO, CARLOS",62,TRAZO C.F.,1186994
"FERREIRA PARENTE, RAUL","BECERRA VARELA, ESTEBAN",62,TRAZO C.F.,1186994
"BERTOA VIQUEIRA, JOSE J","BERMUDEZ CID, CARLOS",62,TRAZO C.F.,1186994
"CHEDAS DURAN, ALFONSO","GOMEZ CORA, ADRIAN",68,C.D. SPORT TEAM ESTRADA,1186995
"IGLESIAS PALLAS, FERNANDO","TOUCEDA GOLDAR, MIGUEL",78,C.D. SPORT TEAM ESTRADA,1186995
"MIGUEZ VIDAL, DANIEL","DA COSTA MORLAN, BRAIS",78,C.D. SPORT TEAM ESTRADA,1186995
"GOMEZ LOPEZ, EZEQUIEL","LAHSAN, MESAUD MOHAMED FADEL",81,C.D. SPORT TEAM ESTRADA,1186995
"PEREZ RIO, VICTOR","TABOADA MATO, DAVID",61,S.D. VILLESTRO,1186995
"NIETO GOMEZ, JAVIER","GONZALEZ CARBALLO, ANXO",61,S.D. VILLESTRO,1186995
"FUENTES OTERO, ANDRES","CASTRO MOAR, BRAIS",61,S.D. VILLESTRO,1186995
"VILLA MARIÑO, SERGIO","CASTRO MOAR, ADRIAN",71,S.D. VILLESTRO,1186995
"PEROL SEOANE, MICHAEL","PEREZ MARCOS, VICTOR",71,S.D. VILLESTRO,1186995
"FARIÑAS LOPEZ, ALEJANDRO","MAESTRE CALVO, DAVID RAFAEL",24,SOCIEDADE DEPORTIVA O PINO,1186996
"PORTOS VILLAR, BORJA","PAZO DURO, JAVIER",46,SOCIEDADE DEPORTIVA O PINO,1186996
"VILLAR VILLAR, IVAN","FERREIRO RIAL, RUBEN",66,SOCIEDADE DEPORTIVA O PINO,1186996
"GARCIA SENRA, DIEGO","FUENTES PARRA, DANIEL",82,SOCIEDADE DEPORTIVA O PINO,1186996
"MACEIRA MATO, ALFONSO","RENDO GUITIAN, ALEXANDRE",65,C.D. SAN MAMED,1186996
"GRANATA LOPEZ, DANIEL","CHAS BROCOS, IAGO SENEN",65,C.D. SAN MAMED,1186996
"REY CALVO, BRAIS","CASAL ALVAREZ, DAVID",77,C.D. SAN MAMED,1186996
"LOPEZ REY, JOSE LUIS","PEREZ MARTINEZ, SAMUEL",77,C.D. SAN MAMED,1186996
"ALDREY MÍGUEZ, MANUEL","MIGUEZ REY, MICHAEL",59,S.D.C. RECESENDE,1186997
"NUÑEZ BARRAL, DAVID","JIMÉNEZ ALBARRAN, SERGIO",59,S.D.C. RECESENDE,1186997
"CALVO CUTRIN, RAUL","DE LA TORRE CUEVAS, FERNANDO",63,S.D.C. RECESENDE,1186997
"GARCIA DURAN, RUBEN","MEIJOME QUINTANA, RODRIGO",76,S.D.C. RECESENDE,1186997
"PAMPIN NOGUEROL, DANIEL","VAZQUEZ NOVAS, MANUEL",59,C.F. CIRE DE MELIDE,1186997
"MOSTEIRO GARCIA, SERGIO","PARRADO ROMERO, CARLOS",59,C.F. CIRE DE MELIDE,1186997
"RIVADULLA FOCIÑOS, MARCOS","POLO ABAD, ASIER",69,C.F. CIRE DE MELIDE,1186997
"RODRIGUEZ RODRIGUEZ, JACOBO","CASTRELO FERNANDEZ, MIGUEL",78,C.F. CIRE DE MELIDE,1186997
"AMBOAGE VILLAR, IVAN","BESADA REY, NICOLAS",61,U.D. VAL DO ULLA,1186998
"MERA SOUTO, ALEJANDRO","CALVIÑO IGLESIAS, PABLO",61,U.D. VAL DO ULLA,1186998
"RODRIGUEZ NUÑEZ, XABIER","SANCHEZ CARPINTEIRO, MIGUEL",69,U.D. VAL DO ULLA,1186998
"CANICOBA BERNARDEZ, BRAIS","SANJUAS CASAL, SERGIO",81,U.D. VAL DO ULLA,1186998
"CASAL REBOLO, PEDRO J","FREIRIA LOPEZ, IGNACIO",81,U.D. VAL DO ULLA,1186998
"AREÁN DIEGUEZ, OVIDIO","ROMERO MONTOUTO, PABLO",59,RODEIRO C.F.,1186998
"LAMAZARES CASERO, ALBERTO","CALVO DAFONTE, RAÚL",85,RODEIRO C.F.,1186998
"CANGADO VILLAMARIN, CARLOS","SANMARTIN GONZALEZ, XABIER",88,RODEIRO C.F.,1186998
"CUÑARRO FERNÁNDEZ, PABLO","QUINTÁ GARCÍA, DAVID",88,RODEIRO C.F.,1186998
"ROMERO DURO, SANDRO","MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",46,S.D. CACHEIRAS,1186999
"FARIÑA BRAVO, ADRIAN","VAAMONDE CALVIÑO, MANUEL",59,S.D. CACHEIRAS,1186999
"CEPEDA MENDOZA, ALEJANDRO","OTERO MATEOS, PABLO",70,S.D. CACHEIRAS,1186999
"MENDEZ FERNANDEZ, BRAIS","SALGUEIRO POMBO, DAVID",87,S.D. CACHEIRAS,1186999
"AMBOAGE VILLAR, IVAN","SANJUAS CASAL, SERGIO",40,U.D. VAL DO ULLA,1186999
"CERDEIRA OTERO, ANDRE","MERA SOUTO, ALEJANDRO",46,U.D. VAL DO ULLA,1186999
"CALVIÑO IGLESIAS, PABLO","SANCHEZ CARPINTEIRO, MIGUEL",46,U.D. VAL DO ULLA,1186999
"LANDEIRA GANDARA, FRANCISCO","CASAL REBOLO, PEDRO J",57,U.D. VAL DO ULLA,1186999
"RODRIGUEZ NUÑEZ, XABIER","BESADA REY, NICOLAS",68,U.D. VAL DO ULLA,1186999
"OTERO IGLESIAS, OSCAR","GONZALEZ SANCHEZ, ALEJANDRO",30,S.D. CRUCES,1187000
"FERNANDEZ REBOREDO, JUAN","FUENTES IGLESIAS, CARLOS",46,S.D. CRUCES,1187000
"CANGAS COSTA, DIEGO","GRANJA HERMIDA, JESUS ANTONIO",70,S.D. CRUCES,1187000
"CORBAL CANGADO, BENITO","DOMINGUEZ GARCIA, ADRIAN",79,S.D. CRUCES,1187000
"LYAGOUBI, MOHAMED AMINE","JACOME AMARANTE, IVAN",79,S.D. CRUCES,1187000
"LOPEZ DE LA FUENTE, ELOI","RIELO COUSO, LUCAS",40,C.F. SILLEDA,1187000
"JAR PENIDO, ALVARO","RIELO COUSO, HUGO",74,C.F. SILLEDA,1187000
"PEÑA PENALTA, IKER","RIADIGOS MARIÑO, MARTIN",74,C.F. SILLEDA,1187000
"SUAREZ PEON, DIEGO","CAMBEIRO COSTA, AIRAS",89,C.F. SILLEDA,1187000
"FORJAN GARCIA, ADRIAN","NIETO GARCIA, BRAIS",53,S.D. DUBRA B,1187001
"ARNEJO DIAZ, BRAIS","BARDANCA REY, GONZALO",80,S.D. DUBRA B,1187001
"BALEATO DOMINGUEZ, MARCO","DUBRA LORENZO, ALEJANDRO",82,S.D. DUBRA B,1187001
"SANIN CARBIA, ALBERTO","CANABAL DE LA FUENTE, CRISTIAN",46,LAMELA C.F.,1187001
"RIOS ALCAIDE, JUAN MANUEL","GARCIA CARRERA, MANUEL",51,LAMELA C.F.,1187001
"PEITEADO MOLEDO, SERGIO","DOVAL GARCIA, ION",60,LAMELA C.F.,1187001
"RIVEIRA MURCIA, HUGO","ESPIÑO CUIÑA, LOIS",60,LAMELA C.F.,1187001
"ABONJO BOUZAS, ALEJANDRO","LUGO PADIN, ESTEBAN",71,LAMELA C.F.,1187001
"EZERROUGUY, MOHAMED SAID","NIETO GESTO, CARLOS",58,TRAZO C.F.,1187002
"BERTOA VIQUEIRA, JOSE J","MARTINEZ DE SANTIAGO, DIEGO",72,TRAZO C.F.,1187002
"FERREIRA PARENTE, RAUL","CANCELA CONDE, ALEJANDRO",72,TRAZO C.F.,1187002
"CASTRO OTERO, SAMUEL","BECERRA VARELA, ESTEBAN",78,TRAZO C.F.,1187002
"CEBEY DE LA TORRE, MANUEL","GOMEZ FERNANDEZ, SIMON",78,TRAZO C.F.,1187002
"MILLAN OCAMPO, JOSE ANTONIO","LOPEZ BREA, SANTIAGO",67,A.C.U.D. CAMPORRAPADO,1187002
"PEREIRAS PEREIRO, RAFAEL","LOPEZ CANICOBA, FABIAN",79,A.C.U.D. CAMPORRAPADO,1187002
