jugador_entra,jugador_sale,minuto,equipo,cod_acta
"DE SOUSA OLIVEIRA, THIAGO","PEROL SEOANE, MICHAEL",67,S.D. VILLESTRO,1186950
"FIGUEIRAS PORTELA, FERNANDO","TABOADA MATO, DAVID",71,S.D. VILLESTRO,1186950
"DOS SANTOS MARQUES, ALEANDRO","RODRIGUEZ GONZALEZ, YAGO",74,S.D. VILLESTRO,1186950
"VEIGA ROSENDE, IAGO","MÍGUEZ SANMARTÍN, MIGUEL",60,A.C.U.D. CAMPORRAPADO,1186951
"MILLAN OCAMPO, JOSE ANTONIO","REY VALLADARES, IAGO",70,A.C.U.D. CAMPORRAPADO,1186951
"LOPEZ BREA, SANTIAGO","ALDREY GONTAD, XIAN",70,A.C.U.D. CAMPORRAPADO,1186951
"PAJARO BARRAN, DANIEL","DOS REIS FERRO, OSCAR",70,A.C.U.D. CAMPORRAPADO,1186951
"PEREIRAS PEREIRO, RAFAEL","FERNANDEZ SUAREZ, DARIO",77,A.C.U.D. CAMPORRAPADO,1186951
"CERDEIRA OTERO, ANDRE","CASAL REBOLO, PEDRO J",60,U.D. VAL DO ULLA,1186951
"FREIRIA LOPEZ, IGNACIO","CALVIÑO IGLESIAS, PABLO",60,U.D. VAL DO ULLA,1186951
"SANCHEZ CARPINTEIRO, MIGUEL","CANICOBA BERNARDEZ, BRAIS",60,U.D. VAL DO ULLA,1186951
"RODRIGUEZ NUÑEZ, XABIER","FREIRIA LOPEZ, JORGE",73,U.D. VAL DO ULLA,1186951
"MERA SOUTO, ALEJANDRO","BESADA REY, NICOLAS",74,U.D. VAL DO ULLA,1186951
"ESPIÑO CUIÑA, LOIS","GOMEZ SANTISO, ALEJANDRO",58,LAMELA C.F.,1186952
"AGUIAR RODRIGUEZ, JULIAN","VARELA VAZQUEZ, DAVID",58,LAMELA C.F.,1186952
"RIOS ALCAIDE, JUAN MANUEL","GARCIA CARRERA, MANUEL",60,LAMELA C.F.,1186952
"RODRIGUEZ FARIÑA, ALEJANDRO","PEITEADO MOLEDO, SERGIO",60,LAMELA C.F.,1186952
"GARCIA REY, ALEJANDRO","RIVEIRA MURCIA, HUGO",79,LAMELA C.F.,1186952
"RODRIGUEZ VILAS, BRAIS","RUZA VAZQUEZ, BRAIS",58,C.D.BELVIS,1186952
"SEIJO CASTRO, YAGO","RAMOS CASTRO, ANDRÉS",70,C.D.BELVIS,1186952
"BERNAL PENAS, LUCAS","ALVAREZ BOHORQUEZ, ALEJANDRO JOSUE",70,C.D.BELVIS,1186952
"FERNÁNDEZ GALLAS, RODRIGO","MIGUEZ MEIJOMIL, MIGUEL",80,C.D.BELVIS,1186952
"ESPIÑO RODRIGUEZ, AARON","RIELO COUSO, LUCAS",31,C.F. SILLEDA,1186953
"RIELO COUSO, HUGO","NOGUEIRA GONZALEZ, PABLO",46,C.F. SILLEDA,1186953
"PEÑA PENALTA, IKER","ESPANTOSO LAMAS, RICARDO",75,C.F. SILLEDA,1186953
"ESPANTOSO LAMAS, JORGE","LOTO , ALAN NICOLAS",83,C.F. SILLEDA,1186953
"CHEDAS DURAN, ALFONSO","GOMEZ CORA, ADRIAN",59,C.D. SPORT TEAM ESTRADA,1186953
"FIGUEIRAS GARCIA, PAULO","DA COSTA MORLAN, BRAIS",69,C.D. SPORT TEAM ESTRADA,1186953
"RIVEIRA DA COSTA, MARTIN","CERVIÑO CARRACEDO, ANDRES",83,C.D. SPORT TEAM ESTRADA,1186953
"RIVADULLA QUINTAS, LUIS MIGUEL","BARRUSO ARIAS, HUGO",83,C.D. SPORT TEAM ESTRADA,1186953
"DOSUNA SOUTO, BRAIS","DA CONCEICAO ANTUNES, FELIPE MATHEUS",82,S.D. CACHEIRAS,1186954
